"Dewater","Spawn_Flows","Prop_dewater","Boards","Run"
6500,4750,NA,"in","Fall"
6000,4750,NA,"in","Fall"
5500,4750,NA,"in","Fall"
5250,4750,NA,"in","Fall"
5000,4750,NA,"in","Fall"
4750,4750,NA,"in","Fall"
4500,4750,0.01,"in","Fall"
4250,4750,0.01,"in","Fall"
4000,4750,0.03,"in","Fall"
3750,4750,0.04,"in","Fall"
3500,4750,0.06,"in","Fall"
3250,4750,0.08,"in","Fall"
29000,5000,NA,"in","Fall"
27000,5000,NA,"in","Fall"
25000,5000,NA,"in","Fall"
23000,5000,NA,"in","Fall"
21000,5000,NA,"in","Fall"
19000,5000,NA,"in","Fall"
17000,5000,NA,"in","Fall"
15000,5000,NA,"in","Fall"
14000,5000,NA,"in","Fall"
13000,5000,NA,"in","Fall"
12000,5000,NA,"in","Fall"
11000,5000,NA,"in","Fall"
10000,5000,NA,"in","Fall"
9000,5000,NA,"in","Fall"
8000,5000,NA,"in","Fall"
7500,5000,NA,"in","Fall"
7000,5000,NA,"in","Fall"
6500,5000,NA,"in","Fall"
6000,5000,NA,"in","Fall"
5500,5000,NA,"in","Fall"
5250,5000,NA,"in","Fall"
5000,5000,NA,"in","Fall"
4750,5000,0.01,"in","Fall"
4500,5000,0.02,"in","Fall"
4250,5000,0.03,"in","Fall"
4000,5000,0.04,"in","Fall"
3750,5000,0.05,"in","Fall"
3500,5000,0.07,"in","Fall"
3250,5000,0.1,"in","Fall"
29000,5250,NA,"in","Fall"
27000,5250,NA,"in","Fall"
25000,5250,NA,"in","Fall"
23000,5250,NA,"in","Fall"
21000,5250,NA,"in","Fall"
19000,5250,NA,"in","Fall"
17000,5250,NA,"in","Fall"
15000,5250,NA,"in","Fall"
14000,5250,NA,"in","Fall"
13000,5250,NA,"in","Fall"
12000,5250,NA,"in","Fall"
11000,5250,NA,"in","Fall"
10000,5250,NA,"in","Fall"
9000,5250,NA,"in","Fall"
8000,5250,NA,"in","Fall"
7500,5250,NA,"in","Fall"
7000,5250,NA,"in","Fall"
6500,5250,NA,"in","Fall"
6000,5250,NA,"in","Fall"
5500,5250,NA,"in","Fall"
5250,5250,NA,"in","Fall"
5000,5250,0.01,"in","Fall"
4750,5250,0.02,"in","Fall"
4500,5250,0.03,"in","Fall"
4250,5250,0.04,"in","Fall"
4000,5250,0.05,"in","Fall"
3750,5250,0.07,"in","Fall"
3500,5250,0.09,"in","Fall"
3250,5250,0.12,"in","Fall"
29000,5500,NA,"in","Fall"
27000,5500,NA,"in","Fall"
25000,5500,NA,"in","Fall"
23000,5500,NA,"in","Fall"
21000,5500,NA,"in","Fall"
19000,5500,NA,"in","Fall"
17000,5500,NA,"in","Fall"
15000,5500,NA,"in","Fall"
14000,5500,NA,"in","Fall"
13000,5500,NA,"in","Fall"
12000,5500,NA,"in","Fall"
11000,5500,NA,"in","Fall"
10000,5500,NA,"in","Fall"
9000,5500,NA,"in","Fall"
8000,5500,NA,"in","Fall"
7500,5500,NA,"in","Fall"
7000,5500,NA,"in","Fall"
6500,5500,NA,"in","Fall"
6000,5500,NA,"in","Fall"
5500,5500,NA,"in","Fall"
5250,5500,0.01,"in","Fall"
5000,5500,0.01,"in","Fall"
4750,5500,0.02,"in","Fall"
4500,5500,0.04,"in","Fall"
4250,5500,0.05,"in","Fall"
4000,5500,0.07,"in","Fall"
3750,5500,0.08,"in","Fall"
3500,5500,0.11,"in","Fall"
3250,5500,0.14,"in","Fall"
29000,6000,NA,"in","Fall"
27000,6000,NA,"in","Fall"
25000,6000,NA,"in","Fall"
23000,6000,NA,"in","Fall"
21000,6000,NA,"in","Fall"
19000,6000,NA,"in","Fall"
